WORD	FREQ	FAVOR	AGAINST	NONE	SUPPORT
底层,政府	6	0	6	0	1.000000
底层,汽车	6	0	6	0	1.000000
生存,环保	5	0	5	0	1.000000
生存,今年	5	0	5	0	1.000000
单手,单手操作	10	10	0	0	1.000000
单手,操作	11	11	0	0	1.000000
环保局,倡议	7	0	7	0	1.000000
环保局,环保	11	0	11	0	1.000000
环保局,烟花爆竹	6	0	6	0	1.000000
环保局,爆竹	8	0	8	0	1.000000
环保局,市	6	0	6	0	1.000000
环保局,空气	5	0	5	0	1.000000
单手操作,单手	10	10	0	0	1.000000
单手操作,操作	10	10	0	0	1.000000
从我做起,做起	10	0	10	0	1.000000
从我做起,环保	7	0	7	0	1.000000
从我做起,今年	5	0	5	0	1.000000
超女,美少女	9	0	0	9	1.000000
超女,无敌	9	0	0	9	1.000000
超女,锅铲	5	0	0	5	1.000000
超女,少女	9	0	0	9	1.000000
超女,小妹	5	0	0	5	1.000000
超女,帅	9	0	0	9	1.000000
超女,腿	9	0	0	9	1.000000
超女,青春	9	0	0	9	1.000000
超女,任	9	0	0	9	1.000000
美少女,超女	9	0	0	9	1.000000
美少女,无敌	9	0	0	9	1.000000
美少女,锅铲	5	0	0	5	1.000000
美少女,少女	9	0	0	9	1.000000
美少女,小妹	5	0	0	5	1.000000
美少女,帅	9	0	0	9	1.000000
美少女,腿	9	0	0	9	1.000000
美少女,青春	9	0	0	9	1.000000
美少女,任	9	0	0	9	1.000000
时间表,同一	8	0	0	8	1.000000
时间表,扎堆	8	0	0	8	1.000000
时间表,申请	9	0	0	9	1.000000
时间表,员工	9	0	0	9	1.000000
时间表,避免	8	0	0	8	1.000000
时间表,根据	9	0	0	9	1.000000
时间表,须	6	0	0	6	1.000000
无敌,超女	9	0	0	9	1.000000
无敌,美少女	9	0	0	9	1.000000
无敌,锅铲	5	0	0	5	1.000000
无敌,少女	9	0	0	9	1.000000
无敌,小妹	5	0	0	5	1.000000
无敌,帅	9	0	0	9	1.000000
无敌,腿	9	0	0	9	1.000000
无敌,青春	9	0	0	9	1.000000
无敌,任	9	0	0	9	1.000000
红绿灯,红绿	8	8	0	0	1.000000
红绿灯,绿灯	8	8	0	0	1.000000
红绿,红绿灯	8	8	0	0	1.000000
红绿,绿灯	8	8	0	0	1.000000
备,孕	6	6	0	0	1.000000
节约,环保	6	0	6	0	1.000000
九件,回家	7	7	0	0	1.000000
中秋,秋节	6	6	0	0	1.000000
中秋,中秋节	6	6	0	0	1.000000
中秋,月饼	5	5	0	0	1.000000
中秋,节日	5	5	0	0	1.000000
解决问题,解决	6	0	6	0	1.000000
秋节,中秋	6	6	0	0	1.000000
秋节,中秋节	6	6	0	0	1.000000
秋节,月饼	5	5	0	0	1.000000
浓度,环保	5	0	5	0	1.000000
延迟,退休	6	0	6	0	1.000000
布,吉	5	5	0	0	1.000000
吉,布	5	5	0	0	1.000000
公,知	5	5	0	0	1.000000
中秋节,中秋	6	6	0	0	1.000000
中秋节,秋节	6	6	0	0	1.000000
中秋节,月饼	5	5	0	0	1.000000
锅铲,超女	5	0	0	5	1.000000
锅铲,美少女	5	0	0	5	1.000000
锅铲,无敌	5	0	0	5	1.000000
锅铲,少女	5	0	0	5	1.000000
锅铲,小妹	5	0	0	5	1.000000
锅铲,帅	5	0	0	5	1.000000
锅铲,腿	5	0	0	5	1.000000
锅铲,青春	5	0	0	5	1.000000
锅铲,任	5	0	0	5	1.000000
逊尼派,逊尼	5	0	5	0	1.000000
逊尼,逊尼派	5	0	5	0	1.000000
车尾,汽车尾气	5	5	0	0	1.000000
车尾,尾气	5	5	0	0	1.000000
车尾,汽车	5	5	0	0	1.000000
罗斯国,俄罗斯国防部	5	5	0	0	1.000000
罗斯国,防部	5	5	0	0	1.000000
罗斯国,国防部	5	5	0	0	1.000000
罗斯国,国防	5	5	0	0	1.000000
罗斯国,恐怖	5	5	0	0	1.000000
端午节,端午	5	5	0	0	1.000000
端午,端午节	5	5	0	0	1.000000
汽车尾气,车尾	5	5	0	0	1.000000
汽车尾气,尾气	5	5	0	0	1.000000
汽车尾气,汽车	5	5	0	0	1.000000
月饼,中秋	5	5	0	0	1.000000
月饼,秋节	5	5	0	0	1.000000
月饼,中秋节	5	5	0	0	1.000000
团圆饭,团圆	5	5	0	0	1.000000
俄罗斯国防部,罗斯国	5	5	0	0	1.000000
俄罗斯国防部,防部	5	5	0	0	1.000000
俄罗斯国防部,国防部	5	5	0	0	1.000000
俄罗斯国防部,国防	5	5	0	0	1.000000
俄罗斯国防部,恐怖	5	5	0	0	1.000000
买得起,买得	5	0	5	0	1.000000
买得,买得起	5	0	5	0	1.000000
蓝天,做起	5	0	5	0	1.000000
蓝天,烧纸	5	0	5	0	1.000000
蓝天,环保	10	0	10	0	1.000000
蓝天,每	5	0	5	0	1.000000
蓝天,烟花爆竹	5	0	5	0	1.000000
蓝天,爆竹	7	0	7	0	1.000000
蓝天,霾	7	0	7	0	1.000000
蓝天,雾	5	0	5	0	1.000000
做起,从我做起	10	0	10	0	1.000000
做起,蓝天	5	0	5	0	1.000000
做起,环保	10	0	10	0	1.000000
做起,烟花爆竹	5	0	5	0	1.000000
做起,爆竹	5	0	5	0	1.000000
做起,霾	5	0	5	0	1.000000
做起,今年	8	0	8	0	1.000000
碳,今年春节	6	0	6	0	1.000000
碳,环保	13	1	12	0	0.923077
碳,低	14	1	13	0	0.928571
碳,爆竹	5	0	5	0	1.000000
碳,今年	7	0	7	0	1.000000
年货,春联	10	9	1	0	0.900000
年货,贴	11	10	1	0	0.909091
断崖,式	13	0	12	1	0.923077
断崖,减少	13	0	12	1	0.923077
断崖,计划生育	5	0	5	0	1.000000
断崖,计划	5	0	5	0	1.000000
断崖,人口	7	0	6	1	0.857143
亲戚,春联	6	6	0	0	1.000000
亲戚,贴	7	7	0	0	1.000000
亲戚,回家	5	5	0	0	1.000000
少女,超女	9	0	0	9	1.000000
少女,美少女	9	0	0	9	1.000000
少女,无敌	9	0	0	9	1.000000
少女,锅铲	5	0	0	5	1.000000
少女,小妹	5	0	0	5	1.000000
少女,帅	9	0	0	9	1.000000
少女,腿	9	0	0	9	1.000000
少女,青春	9	0	0	9	1.000000
少女,任	9	0	0	9	1.000000
劳动力,劳动	12	0	11	1	0.916667
劳动力,鼓励	5	0	5	0	1.000000
劳动力,动力	12	0	11	1	0.916667
同一,时间表	8	0	0	8	1.000000
同一,扎堆	8	0	0	8	1.000000
同一,申请	8	0	0	8	1.000000
同一,员工	8	0	0	8	1.000000
同一,避免	8	0	0	8	1.000000
同一,根据	8	0	0	8	1.000000
同一,须	6	0	0	6	1.000000
餐饮业,对准	27	3	24	0	0.888889
餐饮业,餐饮	27	3	24	0	0.888889
餐饮业,外卖	27	3	24	0	0.888889
餐饮业,社会	5	0	5	0	1.000000
餐饮业,送	27	3	24	0	0.888889
对准,餐饮业	27	3	24	0	0.888889
对准,餐饮	27	3	24	0	0.888889
对准,外卖	27	3	24	0	0.888889
对准,社会	5	0	5	0	1.000000
对准,送	27	3	24	0	0.888889
劳动,劳动力	12	0	11	1	0.916667
劳动,鼓励	5	0	5	0	1.000000
劳动,动力	12	0	11	1	0.916667
扎堆,时间表	8	0	0	8	1.000000
扎堆,同一	8	0	0	8	1.000000
扎堆,申请	8	0	0	8	1.000000
扎堆,员工	8	0	0	8	1.000000
扎堆,避免	8	0	0	8	1.000000
扎堆,根据	8	0	0	8	1.000000
扎堆,须	6	0	0	6	1.000000
通工,交通工具	17	0	15	2	0.882353
通工,工具	17	0	15	2	0.882353
交通工具,通工	17	0	15	2	0.882353
交通工具,工具	17	0	15	2	0.882353
退休,延迟	6	0	6	0	1.000000
横冲,直撞	12	10	1	1	0.833333
横冲,横冲直撞	12	10	1	1	0.833333
新衣,穿	15	13	1	1	0.866667
新衣,贴	5	5	0	0	1.000000
新衣,文化	5	5	0	0	1.000000
哈哈哈,哈哈	15	13	2	0	0.866667
倡议,环保局	7	0	7	0	1.000000
倡议,发出	9	0	9	0	1.000000
倡议,今年春节	9	0	8	1	0.888889
倡议,环保	20	1	17	2	0.850000
倡议,烟花爆竹	13	0	11	2	0.846154
倡议,燃放烟花	9	0	8	1	0.888889
倡议,放烟	9	0	8	1	0.888889
倡议,爆竹	18	0	15	3	0.833333
倡议,今年	10	0	9	1	0.900000
倡议,呼吁	5	0	5	0	1.000000
孕,备	6	6	0	0	1.000000
承诺,环保	5	0	5	0	1.000000
承诺,霾	5	0	5	0	1.000000
承诺,雾	5	0	5	0	1.000000
锵锵,三人行	7	1	0	6	0.857143
爸爸妈妈,爸爸	7	6	0	1	0.857143
添个,土豆	7	6	0	1	0.857143
三人行,锵锵	7	1	0	6	0.857143
春晚,春联	6	6	0	0	1.000000
春晚,贴	7	7	0	0	1.000000
春晚,饺子	5	5	0	0	1.000000
春晚,吃	7	6	0	1	0.857143
亲人,恐怖分子	5	5	0	0	1.000000
亲人,分子	5	5	0	0	1.000000
亲人,恐怖	7	7	0	0	1.000000
晚婚,取消	16	0	15	1	0.937500
晚婚,假	10	0	9	1	0.900000
餐饮,餐饮业	27	3	24	0	0.888889
餐饮,对准	27	3	24	0	0.888889
餐饮,外卖	28	3	24	1	0.857143
餐饮,社会	5	0	5	0	1.000000
餐饮,送	27	3	24	0	0.888889
小时候,小时	24	20	3	1	0.833333
小时候,记得	7	7	0	0	1.000000
逆行,撞	5	5	0	0	1.000000
绿灯,红绿灯	8	8	0	0	1.000000
绿灯,红绿	8	8	0	0	1.000000
直撞,横冲	12	10	1	1	0.833333
直撞,横冲直撞	12	10	1	1	0.833333
烧纸,蓝天	5	0	5	0	1.000000
横冲直撞,横冲	12	10	1	1	0.833333
横冲直撞,直撞	12	10	1	1	0.833333
防部,罗斯国	5	5	0	0	1.000000
防部,俄罗斯国防部	5	5	0	0	1.000000
防部,恐怖	5	5	0	0	1.000000
小妹,超女	5	0	0	5	1.000000
小妹,美少女	5	0	0	5	1.000000
小妹,无敌	5	0	0	5	1.000000
小妹,锅铲	5	0	0	5	1.000000
小妹,少女	5	0	0	5	1.000000
小妹,帅	5	0	0	5	1.000000
小妹,腿	5	0	0	5	1.000000
小妹,青春	5	0	0	5	1.000000
小妹,任	5	0	0	5	1.000000
大姚,土豆	5	5	0	0	1.000000
大姚,伙伴	5	5	0	0	1.000000
大姚,小伙伴	5	5	0	0	1.000000
大姚,小伙	5	5	0	0	1.000000
国防部,罗斯国	5	5	0	0	1.000000
国防部,俄罗斯国防部	5	5	0	0	1.000000
国防部,恐怖	5	5	0	0	1.000000
国防,罗斯国	5	5	0	0	1.000000
国防,俄罗斯国防部	5	5	0	0	1.000000
国防,恐怖	5	5	0	0	1.000000
取消,晚婚	16	0	15	1	0.937500
取消,晚育	11	0	10	1	0.909091
取消,晚婚晚育	9	0	8	1	0.888889
取消,假	10	0	9	1	0.900000
发出,倡议	9	0	9	0	1.000000
发出,环保	7	0	7	0	1.000000
发出,烟花爆竹	5	0	5	0	1.000000
发出,爆竹	9	1	8	0	0.888889
发出,今年	5	0	5	0	1.000000
中华民族,贴	6	6	0	0	1.000000
中华民族,中华	17	14	2	1	0.823529
中华民族,传统节日	7	6	0	1	0.857143
中华民族,民族	17	14	2	1	0.823529
中华民族,节日	8	7	0	1	0.875000
申请,时间表	9	0	0	9	1.000000
申请,同一	8	0	0	8	1.000000
申请,扎堆	8	0	0	8	1.000000
申请,员工	9	0	0	9	1.000000
申请,避免	8	0	0	8	1.000000
申请,根据	9	0	0	9	1.000000
申请,须	6	0	0	6	1.000000
户户,家户	11	9	0	2	0.818182
户户,家家户户	11	9	0	2	0.818182
户户,家家	11	9	0	2	0.818182
户户,贴	5	5	0	0	1.000000
恐怖主义,恐怖	11	9	2	0	0.818182
帅,超女	9	0	0	9	1.000000
帅,美少女	9	0	0	9	1.000000
帅,无敌	9	0	0	9	1.000000
帅,锅铲	5	0	0	5	1.000000
帅,少女	9	0	0	9	1.000000
帅,小妹	5	0	0	5	1.000000
帅,腿	9	0	0	9	1.000000
帅,青春	10	1	0	9	0.900000
帅,任	9	0	0	9	1.000000
家户,户户	11	9	0	2	0.818182
家户,家家户户	11	9	0	2	0.818182
家户,家家	11	9	0	2	0.818182
家户,贴	5	5	0	0	1.000000
家家户户,户户	11	9	0	2	0.818182
家家户户,家户	11	9	0	2	0.818182
家家户户,家家	11	9	0	2	0.818182
家家户户,贴	5	5	0	0	1.000000
千年,几千年	10	8	1	1	0.800000
千年,几千	10	8	1	1	0.800000
千年,空气	5	5	0	0	1.000000
团圆,团圆饭	5	5	0	0	1.000000
团圆,贴	8	7	1	0	0.875000
团圆,节日	6	6	0	0	1.000000
团圆,吃	7	7	0	0	1.000000
今年春节,碳	6	0	6	0	1.000000
今年春节,倡议	9	0	8	1	0.888889
今年春节,环保	37	1	32	4	0.864865
今年春节,低	7	0	7	0	1.000000
今年春节,今年	68	3	55	10	0.808824
懒,政	18	1	15	2	0.833333
懒,政府	7	0	7	0	1.000000
铁站,地铁站	15	12	1	2	0.800000
铁站,地铁	15	12	1	2	0.800000
地铁站,铁站	15	12	1	2	0.800000
地铁站,地铁	15	12	1	2	0.800000
消防,爆竹	5	0	5	0	1.000000
客,兜	6	6	0	0	1.000000
客,地铁	5	5	0	0	1.000000
大气,环保	5	0	5	0	1.000000
几千年,千年	10	8	1	1	0.800000
几千年,几千	10	8	1	1	0.800000
几千,千年	10	8	1	1	0.800000
几千,几千年	10	8	1	1	0.800000
倡导,环保	7	1	6	0	0.857143
穿,新衣	15	13	1	1	0.866667
穿,贴	5	5	0	0	1.000000
穿,文化	5	5	0	0	1.000000
没钱,有钱	5	0	5	0	1.000000
月份,合伙人	7	6	0	1	0.857143
月份,合伙	7	6	0	1	0.857143
月份,土豆	8	8	0	0	1.000000
月份,小土豆	7	7	0	0	1.000000
月份,小土	7	7	0	0	1.000000
月份,添	7	7	0	0	1.000000
月份,伙伴	6	6	0	0	1.000000
月份,小伙伴	6	6	0	0	1.000000
月份,小伙	6	6	0	0	1.000000
月份,梦想	7	6	0	1	0.857143
家家,户户	11	9	0	2	0.818182
家家,家户	11	9	0	2	0.818182
家家,家家户户	11	9	0	2	0.818182
家家,贴	6	6	0	0	1.000000
合伙人,月份	7	6	0	1	0.857143
合伙人,土豆	11	9	0	2	0.818182
合伙人,小土豆	11	9	0	2	0.818182
合伙人,小土	11	9	0	2	0.818182
合伙人,添	7	6	0	1	0.857143
合伙,月份	7	6	0	1	0.857143
合伙,土豆	11	9	0	2	0.818182
合伙,小土豆	11	9	0	2	0.818182
合伙,小土	11	9	0	2	0.818182
合伙,添	7	6	0	1	0.857143
土豆,添个	7	6	0	1	0.857143
土豆,大姚	5	5	0	0	1.000000
土豆,月份	8	8	0	0	1.000000
土豆,合伙人	11	9	0	2	0.818182
土豆,合伙	11	9	0	2	0.818182
土豆,添	11	9	0	2	0.818182
土豆,曝	5	5	0	0	1.000000
土豆,梦想	12	10	0	2	0.833333
产生,环保	5	0	5	0	1.000000
产生,减少	5	0	5	0	1.000000
产生,烟花爆竹	5	0	5	0	1.000000
产生,爆竹	7	0	7	0	1.000000
产生,霾	7	0	7	0	1.000000
产生,空气	5	0	5	0	1.000000
兜,客	6	6	0	0	1.000000
号召,环保	7	0	7	0	1.000000
号召,今年	7	1	6	0	0.857143
腿,超女	9	0	0	9	1.000000
腿,美少女	9	0	0	9	1.000000
腿,无敌	9	0	0	9	1.000000
腿,锅铲	5	0	0	5	1.000000
腿,少女	9	0	0	9	1.000000
腿,小妹	5	0	0	5	1.000000
腿,帅	9	0	0	9	1.000000
腿,青春	10	1	0	9	0.900000
腿,任	9	0	0	9	1.000000
晚育,取消	11	0	10	1	0.909091
年夜饭,贴	5	5	0	0	1.000000
尾气,车尾	5	5	0	0	1.000000
尾气,汽车尾气	5	5	0	0	1.000000
尾气,排放	7	6	1	0	0.857143
